Optimal solution 832
Seed 12020331
Number of iterations 8000
Number of cars 12
Best Solution:	[[12, 66, 67, 60, 15], [16, 58, 14, 55, 20, 36, 8, 54, 59, 73], [29, 23, 65, 43, 42, 44, 2, 74], [31, 3, 63, 34, 7, 69], [4, 45, 33, 51, 19, 56, 26], [49, 48, 6, 30, 46, 28, 53], [18, 52, 64, 17, 50, 25, 24, 57], [75, 22, 62, 70, 37, 71, 61, 72, 21, 38], [76, 5, 68, 27, 41], [39, 11, 32, 10, 40, 13], [35, 47, 9]]	952.6831189327751	53.56009998827423	176

iteration	paths	result	hipotesis 1	hipotesis 2
1	[[67, 66, 39, 11, 59, 73, 40], [31, 75, 3, 74, 2, 64, 17, 7], [5, 69, 76, 13, 41, 18], [58, 16, 6, 30, 46, 47, 35], [60, 12, 54, 15, 36], [44, 43, 42, 57, 24, 50, 34, 52, 4], [68, 27, 53, 28, 14, 55, 20], [37, 38, 21, 71, 61, 72, 70, 48, 22], [51, 19, 33, 45, 25, 26, 56], [49, 29, 63, 23, 65, 62, 8], [9, 10, 32]]	1106.4076069958198	2.2593587273867115	176
3	[[49, 6, 48, 22, 75, 31], [59, 11, 39, 66, 67], [13, 41, 18, 52, 45, 33], [38, 37, 72, 61, 71, 21, 16, 58, 14, 28], [27, 7, 69, 76, 5, 68], [70, 62, 63, 74, 34, 64, 17, 25, 50], [4, 26, 56, 51, 19, 10, 40, 73, 32], [8, 9, 35, 47, 53, 20, 55, 36], [15, 54, 12, 60, 2], [24, 57, 42, 44, 43, 65, 23], [30, 46, 29, 3]]	1082.2242451658774	30.344417489856568	176
5	[[62, 37, 72, 61, 71, 21, 38, 6, 16, 58], [32, 33, 10, 40, 59, 73], [9, 47, 35, 53, 28, 14, 55], [70, 48, 22, 49, 31, 75, 3], [64, 34, 74, 2, 44, 42, 43, 65], [54, 12, 67, 66, 39], [13, 41, 18, 27, 68], [52, 45, 4, 50, 17, 7, 69, 76], [8, 36, 20, 15, 60, 11], [51, 19, 56, 26, 25, 24, 57, 23], [29, 63, 30, 5, 46]]	1054.321596177189	9.510526064023963	176
7	[[11, 73, 40, 10, 33, 45, 4], [47, 35, 53, 28, 55, 14, 58, 16], [72, 61, 71, 21, 38, 6, 30, 46], [17, 64, 34, 52, 18, 41, 13], [63, 74, 2, 44, 43, 42, 57, 24, 50], [62, 22, 75, 31, 5, 76, 69], [48, 37, 70, 49, 29, 3], [19, 51, 26, 56, 32, 66, 39, 59], [8, 36, 54, 12, 67], [9, 20, 15, 60, 68, 27], [25, 23, 65, 7]]	1038.4097127671637	31.198873179638483	176
12	[[76, 69, 7, 27, 68, 47], [23, 63, 74, 2, 44, 43, 42, 57, 24], [21, 71, 61, 72, 37, 48, 70, 49, 31], [10, 40, 73, 13, 41, 18, 52], [20, 55, 14, 28, 53, 35, 5], [4, 45, 33, 51, 19, 25, 50], [46, 30, 6, 38, 16, 58, 75, 3], [60, 15, 36, 8, 9, 54], [12, 67, 66, 39, 11], [59, 32, 56, 26, 17, 64, 34], [29, 22, 62, 65]]	1024.8794448145688	15.496843894837838	176
17	[[75, 31, 49, 30, 46, 28, 53], [44, 43, 42, 57, 24, 64, 34, 74, 63], [37, 48, 70, 62, 22, 29, 3], [50, 25, 19, 51, 26, 56, 32, 11], [60, 15, 54, 9, 8, 36, 20], [23, 65, 2, 7, 69, 76, 5], [35, 47, 68, 27, 41], [39, 66, 67, 12, 59, 73], [16, 58, 14, 6, 38, 21, 71, 61, 72, 55], [40, 10, 33, 45, 4, 17, 52], [18, 13]]	1012.7225867480142	64.64027609319129	176
27	[[55, 14, 58, 16, 6, 38, 21, 71, 61, 72], [47, 35, 53, 28, 46, 30, 49], [44, 43, 42, 57, 24, 64, 34, 74, 63], [4, 45, 33, 10, 40, 73, 59], [8, 36, 20, 15, 54, 12, 66], [76, 69, 7, 2, 65, 23, 29], [62, 70, 48, 37, 22, 75, 31], [52, 17, 50, 25, 19, 51, 26, 56], [9, 68, 27, 18, 13, 41], [60, 67, 39, 11, 32], [5, 3]]	986.1676577907451	55.292395601919736	176
444	[[34, 74, 63, 29, 23, 65, 43], [62, 70, 37, 48, 49, 30, 46, 28], [52, 17, 50, 25, 19, 51, 26, 56], [14, 55, 20, 36, 8, 54, 12, 66], [71, 61, 72, 21, 38, 6, 16, 58, 53], [10, 40, 73, 59, 11, 39], [4, 45, 33, 41, 13, 18], [64, 24, 57, 42, 44, 2, 7, 69], [22, 75, 31, 3, 5, 76], [32, 67, 60, 15, 9], [27, 68, 47, 35]]	983.846366038689	59.464893973499514	176
869	[[2, 44, 42, 43, 65, 23, 29], [38, 21, 72, 61, 71, 37, 70, 62, 22, 75], [15, 60, 67, 66, 12], [53, 35, 47, 9, 36, 8, 54], [31, 69, 7, 34, 74, 63, 3], [32, 26, 56, 19, 51, 33, 45, 4], [17, 50, 25, 24, 57, 64, 52, 18], [20, 55, 14, 58, 16, 6, 30, 46, 28], [39, 11, 59, 73, 40, 10, 13], [76, 5, 68, 27, 41], [49, 48]]	955.4821279696287	32.99610414950502	176
1165	[[12, 66, 67, 60, 15], [16, 58, 14, 55, 20, 36, 8, 54, 59, 73], [29, 23, 65, 43, 42, 44, 2, 74], [31, 3, 63, 34, 7, 69], [4, 45, 33, 51, 19, 56, 26], [49, 48, 6, 30, 46, 28, 53], [18, 52, 64, 17, 50, 25, 24, 57], [75, 22, 62, 70, 37, 71, 61, 72, 21, 38], [76, 5, 68, 27, 41], [39, 11, 32, 10, 40, 13], [35, 47, 9]]	952.6831189327751	53.56009998827423	176
